nombre_comunidad,date,value
Extremadura,2020/11,-0.8
Extremadura,2020/12,-0.5
Extremadura,2021/01,0.6
Extremadura,2021/02,0.1
Extremadura,2021/03,1.6
Extremadura,2021/04,2.4
Extremadura,2021/05,2.9
Extremadura,2021/06,3
Extremadura,2021/07,3.1
Extremadura,2021/08,3.6
Extremadura,2021/09,4.3
Extremadura,2021/10,5.6
Galicia,2020/01,1.2
Galicia,2020/02,0.7
Galicia,2020/03,-0.2
Galicia,2020/04,-0.9
Galicia,2020/05,-1.2
Galicia,2020/06,-0.4
Galicia,2020/07,-0.7
Galicia,2020/08,-0.4
Galicia,2020/09,-0.3
Galicia,2020/10,-0.7
Galicia,2020/11,-0.7
Galicia,2020/12,-0.4
Galicia,2021/01,0.4
Galicia,2021/02,0.2
Galicia,2021/03,1.7
Galicia,2021/04,2.7
Galicia,2021/05,3.3
Galicia,2021/06,3.3
Galicia,2021/07,3.5
Galicia,2021/08,3.9
Galicia,2021/09,4.6
Galicia,2021/10,5.7
Comunidad de Madrid,2020/01,0.9
Comunidad de Madrid,2020/02,0.6
Comunidad de Madrid,2020/03,0.1
Comunidad de Madrid,2020/04,-0.5
Comunidad de Madrid,2020/05,-0.7
Comunidad de Madrid,2020/06,-0.1
Comunidad de Madrid,2020/07,-0.6
Comunidad de Madrid,2020/08,-0.5
Comunidad de Madrid,2020/09,-0.5
Comunidad de Madrid,2020/10,-1.1
Comunidad de Madrid,2020/11,-1.1
Comunidad de Madrid,2020/12,-0.8
Comunidad de Madrid,2021/01,0.4
Comunidad de Madrid,2021/02,-0.1
Comunidad de Madrid,2021/03,0.9
Comunidad de Madrid,2021/04,1.7
Comunidad de Madrid,2021/05,2.1
Comunidad de Madrid,2021/06,2.1
Comunidad de Madrid,2021/07,2.6
Comunidad de Madrid,2021/08,3
Comunidad de Madrid,2021/09,3.6
Comunidad de Madrid,2021/10,5.1
Región de Murcia,2020/01,1.2
Región de Murcia,2020/02,0.9
Región de Murcia,2020/03,0
Región de Murcia,2020/04,-0.7
Región de Murcia,2020/05,-0.9
Región de Murcia,2020/06,-0.4
Región de Murcia,2020/07,-0.5
Región de Murcia,2020/08,-0.5
Región de Murcia,2020/09,-0.4
Región de Murcia,2020/10,-0.5
Región de Murcia,2020/11,-0.8
Región de Murcia,2020/12,-0.4
Región de Murcia,2021/01,0.4
Región de Murcia,2021/02,0
Región de Murcia,2021/03,1.4
Región de Murcia,2021/04,2.3
Región de Murcia,2021/05,2.8
Región de Murcia,2021/06,2.6
Región de Murcia,2021/07,2.7
Región de Murcia,2021/08,3.2
Región de Murcia,2021/09,3.9
Región de Murcia,2021/10,5.1
Comunidad Foral de Navarra,2020/01,1.2
Comunidad Foral de Navarra,2020/02,0.6
Comunidad Foral de Navarra,2020/03,-0.3
Comunidad Foral de Navarra,2020/04,-1
Comunidad Foral de Navarra,2020/05,-1.3
Comunidad Foral de Navarra,2020/06,-0.7
Comunidad Foral de Navarra,2020/07,-1.3
Comunidad Foral de Navarra,2020/08,-0.9
Comunidad Foral de Navarra,2020/09,-0.7
Comunidad Foral de Navarra,2020/10,-1
Comunidad Foral de Navarra,2020/11,-1
Comunidad Foral de Navarra,2020/12,-0.6
Comunidad Foral de Navarra,2021/01,0.4
Comunidad Foral de Navarra,2021/02,0.3
Comunidad Foral de Navarra,2021/03,1.8
Comunidad Foral de Navarra,2021/04,2.7
Comunidad Foral de Navarra,2021/05,3.3
Comunidad Foral de Navarra,2021/06,3.2
Comunidad Foral de Navarra,2021/07,3.3
Comunidad Foral de Navarra,2021/08,3.6
Comunidad Foral de Navarra,2021/09,4.1
Comunidad Foral de Navarra,2021/10,5.6
País Vasco,2020/01,1.4
País Vasco,2020/02,0.8
País Vasco,2020/03,0.1
